release_date,aa_intelligence_index_v4,model,creator,blended_price_usd_per_1m_tokens
2022-11-30,9,GPT-3.5 Turbo,OpenAI,0.75
2023-03-14,12.8,GPT-4,OpenAI,37.5
2023-11-06,13.7,GPT-4 Turbo,OpenAI,15
2024-03-04,18,Claude 3 Opus,Anthropic,32.813
2024-08-06,18.6,GPT-4o (Aug '24),OpenAI,4.375
2024-09-12,20.4,o1-mini,OpenAI,0
2024-09-12,23.7,o1-preview,OpenAI,28.875
2024-12-05,30.7,o1,OpenAI,26.25
2025-02-19,32.1,Grok 3 mini Reasoning (high),xAI,0.35
2025-02-24,34.7,Claude 3.7 Sonnet (Reasoning),Anthropic,0
2025-04-16,38.4,o3,OpenAI,3.5
2025-05-22,38.7,Claude 4 Sonnet (Reasoning),Anthropic,6.563
2025-05-22,39,Claude 4 Opus (Reasoning),Anthropic,32.813
2025-06-10,40.7,o3-pro,OpenAI,35
2025-07-10,41.5,Grok 4,xAI,11
2025-08-05,42,Claude 4.1 Opus (Reasoning),Anthropic,32.813
2025-08-07,44.6,GPT-5 (high),OpenAI,3.438
2025-11-13,47.7,GPT-5.1 (high),OpenAI,3.438
2025-11-18,48.4,Gemini 3 Pro Preview (high),Google,4.5
2025-11-24,49.7,Claude Opus 4.5 (Reasoning),Anthropic,10.938
2025-12-11,51.3,GPT-5.2 (xhigh),OpenAI,4.813
2026-02-05,52.9,"Claude Opus 4.6 (Adaptive Reasoning, Max Effort)",Anthropic,10.938
2026-02-05,53.6,GPT-5.3 Codex (xhigh),OpenAI,4.813
2026-02-19,57.2,Gemini 3.1 Pro Preview,Google,4.5
2026-04-16,57.3,"Claude Opus 4.7 (Adaptive Reasoning, Max Effort)",Anthropic,10.938
2026-04-23,58.9,GPT-5.5 (high),OpenAI,11.25
2026-04-23,60.2,GPT-5.5 (xhigh),OpenAI,11.25
2026-05-28,61.4,"Claude Opus 4.8 (Adaptive Reasoning, Max Effort)",Anthropic,10.938
2026-06-09,64.9,"Claude Fable 5 (Adaptive Reasoning, Max Effort, Opus 4.8 Fallback)",Anthropic,21.875
